"id","residenceId","buildingId","documentType","filetype","documentType","url"
3508231,1626898,,inspection,pdf,inspection,https://documents.bcdn.se/3f/8b/07fb53fa0534/3faa17d0-218a-11ef-b81c-db1f75163859.pdf
3512721,2083761,,inspection,pdf,inspection,https://documents.bcdn.se/ef/00/a885a01c4ceb/2024-400_Besiktning_Läkarvägen_6a_Spånga.pdf
3512924,1938183,,inspection,pdf,inspection,https://documents.bcdn.se/5c/a9/3fc2d0f3132c/besiktningsprotokoll.pdf
3515311,3639775,,inspection,pdf,inspection,https://documents.bcdn.se/fd/0d/5e0d9d422f6c/DOK35F4C2A96A20414DB44FCA811FEBEF6C_20240613160009.pdf
3516171,2347662,57971032,inspection,pdf,inspection,https://documents.bcdn.se/6c/fa/05a80a9f8b54/DOK220BEB6FCA544EE1BE8BBDA9F60F6BB9_20240612113021.pdf
3516245,3502411,,inspection,pdf,inspection,https://documents.bcdn.se/5d/ca/f2183a0efc43/bergsvagen_9_45297_stromstad_2024_besiktningsutlatande_skyddat_kop_su_2024.pdf
3516264,1952425,,inspection,pdf,inspection,https://documents.bcdn.se/2e/2e/fc18a655d6ea/DOK6C884F1D0B9842CDB2B99F20B6E5E769_20241120105733.pdf
3516496,1515822,,inspection,pdf,inspection,https://documents.bcdn.se/43/7f/1242d402d45c/DOKC0A19B9DDF7D4CE8A9C2DBE65FE749F3_20241113185032.pdf
3517640,2506422,,inspection,pdf,inspection,https://documents.bcdn.se/9a/eb/1d4fdaef3b6c/Möllegatan_Besiktning.pdf
3521235,2897240,58016121,inspection,pdf,inspection,https://documents.bcdn.se/3e/3a/f5564167be55/Förbesiktning_Kvarnvretsvägen_17.pdf
3522286,,58132502,inspection,pdf,inspection,https://documents.bcdn.se/f3/e4/d29fece632f0/8153536.pdf
3524575,3722097,2419039,inspection,pdf,inspection,https://documents.bcdn.se/b1/9d/10545dec76c9/DOK2CA88EF1299F4D888F59A6F0D647CCA5_20240625180651.pdf
3528945,2226475,58103340,inspection,pdf,inspection,https://documents.bcdn.se/98/4e/63f844021462/Besiktningsprotokoll-CMVilla5HBBU5672I0O00IB.pdf
3529749,2812298,,inspection,pdf,inspection,https://documents.bcdn.se/47/88/764713efbf82/DOKC228A160A2DE4447BAE1FF57FE0B80FD.pdf
3533960,,58146659,inspection,pdf,inspection,https://documents.bcdn.se/6e/2a/5aa7ab3df703/DOK44C7B74594634DC6913D6BA2F3AF031C.pdf
3539423,3641982,38972471,inspection,pdf,inspection,https://documents.bcdn.se/3a/c0/f89e0c456617/DOK66F1AE3358924919B0391C5C725F831D_20240715143550.pdf
3542205,2513254,,inspection,pdf,inspection,https://documents.bcdn.se/82/15/a0d910491a41/Besiktning_Götgatan_Östra_Göinge_Talgoxe.pdf
3542819,3370260,,inspection,pdf,inspection,https://documents.bcdn.se/a4/b2/39c41e617b65/Utlatande-overlatelsebesiktning-OBJ17600_2063291605.pdf
3543508,3372597,,inspection,pdf,inspection,https://documents.bcdn.se/0b/ec/57038a02a550/Utlatande-Overlatelsebesiktning-Saljare-OBJ10202_1995333238.pdf
3543948,1515072,58175478,inspection,pdf,inspection,https://documents.bcdn.se/e2/47/86b9855757a2/DOK939D56A3ED1C4E419C2C015C373ECAEE_20240724145140.pdf
3547016,3207690,,inspection,pdf,inspection,https://documents.bcdn.se/d3/ef/915f9d189205/Prylvägen_7_A_Överlåtelsebesiktning.pdf
3549000,2191993,58360054,inspection,pdf,inspection,https://documents.bcdn.se/c0/11/4bc8b74fb3f6/DOK269E331450814D7C961F177EBA45DAA2_20241111171526.pdf
3549431,1564349,58367478,inspection,pdf,inspection,https://documents.bcdn.se/82/89/ce57f6a36847/DOK8EAA31FCA20040AEA00F61256B6F5942_20240803133420.pdf
